record_id,pair_id,source_image_id,source_image_path,source_crop_path,source_split,generator_family,generator_model,anomaly_scope,anomaly_type,severity,output_image_path,mask_path,prompt_path,accepted_for_benchmark,notes
test_1_DJI_20250911105233_0257_V__1278__chatgpt,test_1_DJI_20250911105233_0257_V__1278,DJI_20250911105233_0257_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105233_0257_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105233_0257_V__1278__isoladores.png,test,chatgpt,,isoladores,crack,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/chatgpt/test_1_DJI_20250911105233_0257_V__1278_gpt.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/test/test_1_DJI_20250911105233_0257_V__1278__chatgpt__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/chatgpt/01_crack.md,true,review_valid=true;review_suggested_severity=moderate;review_comment=plausible_localized_crack;mask_imported_from_roboflow=true;mask_source_split=test;accepted_for_benchmark_by_curated_review=true
test_1_DJI_20250911105233_0257_V__1278__gemini,test_1_DJI_20250911105233_0257_V__1278,DJI_20250911105233_0257_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105233_0257_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105233_0257_V__1278__isoladores.png,test,gemini,,isoladores,crack,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/gemini/test_1_DJI_20250911105233_0257_V__1278_gemini.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/test/test_1_DJI_20250911105233_0257_V__1278__gemini__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/gemini/01_crack.md,true,review_valid=true;review_suggested_severity=moderate_to_severe;review_comment=plausible_crack_stronger_than_target;mask_imported_from_roboflow=true;mask_source_split=test;accepted_for_benchmark_by_curated_review=true
test_2_DJI_20250911105238_0263_V__1309__chatgpt,test_2_DJI_20250911105238_0263_V__1309,DJI_20250911105238_0263_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105238_0263_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105238_0263_V__1309__isoladores.png,test,chatgpt,,isoladores,partial chipping,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/chatgpt/test_2_DJI_20250911105238_0263_V__1309_gpt.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/test/test_2_DJI_20250911105238_0263_V__1309__chatgpt__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/chatgpt/02_partial_chipping.md,true,review_valid=true;review_suggested_severity=moderate;review_comment=plausible_localized_chip;mask_imported_from_roboflow=true;mask_source_split=test;accepted_for_benchmark_by_curated_review=true
test_2_DJI_20250911105238_0263_V__1309__gemini,test_2_DJI_20250911105238_0263_V__1309,DJI_20250911105238_0263_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105238_0263_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105238_0263_V__1309__isoladores.png,test,gemini,,isoladores,partial chipping,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/gemini/test_2_DJI_20250911105238_0263_V__1309_gemini.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/test/test_2_DJI_20250911105238_0263_V__1309__gemini__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/gemini/02_partial_chipping.md,true,review_valid=true;review_suggested_severity=moderate_to_severe;review_comment=chip_larger_than_target_but_plausible;mask_imported_from_roboflow=true;mask_source_split=test;accepted_for_benchmark_by_curated_review=true
test_3_DJI_20250911105247_0276_V__1374__chatgpt,test_3_DJI_20250911105247_0276_V__1374,DJI_20250911105247_0276_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105247_0276_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105247_0276_V__1374__isoladores.png,test,chatgpt,,isoladores,burn mark,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/chatgpt/test_3_DJI_20250911105247_0276_V__1374_chatgpt.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/test/test_3_DJI_20250911105247_0276_V__1374__chatgpt__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/chatgpt/03_burn_mark.md,true,review_valid=true;review_suggested_severity=moderate;review_comment=plausible_burn_mark;mask_imported_from_roboflow=true;mask_source_split=test;accepted_for_benchmark_by_curated_review=true
test_3_DJI_20250911105247_0276_V__1374__gemini,test_3_DJI_20250911105247_0276_V__1374,DJI_20250911105247_0276_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105247_0276_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105247_0276_V__1374__isoladores.png,test,gemini,,isoladores,burn mark,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/gemini/test_3_DJI_20250911105247_0276_V__1374_gemini.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/test/test_3_DJI_20250911105247_0276_V__1374__gemini__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/gemini/03_burn_mark.md,true,review_valid=true;review_suggested_severity=moderate_to_severe;review_comment=burn_mark_stronger_than_target;mask_imported_from_roboflow=true;mask_source_split=test;accepted_for_benchmark_by_curated_review=true
test_4_DJI_20250911105257_0291_V__1450__chatgpt,test_4_DJI_20250911105257_0291_V__1450,DJI_20250911105257_0291_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105257_0291_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105257_0291_V__1450__isoladores.png,test,chatgpt,,isoladores,severe contamination,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/chatgpt/test_4_DJI_20250911105257_0291_V__1450_gpt.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/test/test_4_DJI_20250911105257_0291_V__1450__chatgpt__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/chatgpt/04_severe_contamination.md,true,review_valid=true;review_suggested_severity=severe;review_comment=contamination_plausible_but_stronger_than_target;mask_imported_from_roboflow=true;mask_source_split=test;accepted_for_benchmark_by_curated_review=true
test_4_DJI_20250911105257_0291_V__1450__gemini,test_4_DJI_20250911105257_0291_V__1450,DJI_20250911105257_0291_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105257_0291_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105257_0291_V__1450__isoladores.png,test,gemini,,isoladores,severe contamination,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/gemini/test_4_DJI_20250911105257_0291_V__1450_gemini.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/test/test_4_DJI_20250911105257_0291_V__1450__gemini__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/gemini/04_severe_contamination.md,true,review_valid=true;review_suggested_severity=severe;review_comment=contamination_plausible_but_stronger_than_target;mask_imported_from_roboflow=true;mask_source_split=test;accepted_for_benchmark_by_curated_review=true
test_5_DJI_20250911105303_0300_V__1491__chatgpt,test_5_DJI_20250911105303_0300_V__1491,DJI_20250911105303_0300_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105303_0300_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105303_0300_V__1491__isoladores.png,test,chatgpt,,isoladores,localized surface damage,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/chatgpt/test_5_DJI_20250911105303_0300_V__1491_gpt.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/test/test_5_DJI_20250911105303_0300_V__1491__chatgpt__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/chatgpt/05_localized_surface_damage.md,true,review_valid=true;review_suggested_severity=moderate;review_comment=plausible_localized_surface_damage;mask_imported_from_roboflow=true;mask_source_split=test;accepted_for_benchmark_by_curated_review=true
test_5_DJI_20250911105303_0300_V__1491__gemini,test_5_DJI_20250911105303_0300_V__1491,DJI_20250911105303_0300_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105303_0300_V.jpg,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105303_0300_V__1491__isoladores.png,test,gemini,,isoladores,localized surface damage,moderate,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/generated/gemini/test_5_DJI_20250911105303_0300_V__1491_gemini.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/masks/test/test_5_DJI_20250911105303_0300_V__1491__gemini__mask.png,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/prompts/gemini/05_localized_surface_damage.md,true,review_valid=true;review_suggested_severity=moderate_to_severe;review_comment=surface_damage_stronger_than_target;mask_imported_from_roboflow=true;mask_source_split=test;accepted_for_benchmark_by_curated_review=true
