source_crop_id,source_split,source_image_id,source_image_path,annotation_id,label,bbox_x,bbox_y,bbox_width,bbox_height,bbox_area,crop_width,crop_height,padding,source_crop_path
DJI_20250911105230_0252_V__1250,test,DJI_20250911105230_0252_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105230_0252_V.jpg,1250,isoladores,2452.0,1172.0,36.0,209.4,7538.4,164,338,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105230_0252_V__1250__isoladores.png
DJI_20250911105230_0252_V__1251,test,DJI_20250911105230_0252_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105230_0252_V.jpg,1251,isoladores,2931.44,844.0,35.0,210.8,7378.0,164,339,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105230_0252_V__1251__isoladores.png
DJI_20250911105230_0252_V__1254,test,DJI_20250911105230_0252_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105230_0252_V.jpg,1254,isoladores,2713.7,1017.0,29.4,211.5,6218.1,159,340,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105230_0252_V__1254__isoladores.png
DJI_20250911105231_0253_V__1256,test,DJI_20250911105231_0253_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105231_0253_V.jpg,1256,isoladores,2712.2,1020.4,30.7,208.68,6406.48,159,338,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105231_0253_V__1256__isoladores.png
DJI_20250911105231_0253_V__1257,test,DJI_20250911105231_0253_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105231_0253_V.jpg,1257,isoladores,2935.0,853.0,33.7,200.9,6770.33,162,329,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105231_0253_V__1257__isoladores.png
DJI_20250911105231_0253_V__1258,test,DJI_20250911105231_0253_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105231_0253_V.jpg,1258,isoladores,2448.0,1164.1,37.0,216.9,8025.3,165,345,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105231_0253_V__1258__isoladores.png
DJI_20250911105231_0254_V__1260,test,DJI_20250911105231_0254_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105231_0254_V.jpg,1260,isoladores,2710.4,1019.2,34.0,204.0,6936.0,163,333,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105231_0254_V__1260__isoladores.png
DJI_20250911105231_0254_V__1263,test,DJI_20250911105231_0254_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105231_0254_V.jpg,1263,isoladores,2443.51,1162.5,38.0,212.53,8076.14,167,342,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105231_0254_V__1263__isoladores.png
DJI_20250911105231_0254_V__1264,test,DJI_20250911105231_0254_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105231_0254_V.jpg,1264,isoladores,2937.1,850.92,34.66,199.4,6911.2,163,329,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105231_0254_V__1264__isoladores.png
DJI_20250911105232_0255_V__1266,test,DJI_20250911105232_0255_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105232_0255_V.jpg,1266,isoladores,2706.0,1017.24,37.0,207.0,7659.0,165,336,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105232_0255_V__1266__isoladores.png
