source_crop_id,source_split,source_image_id,source_image_path,annotation_id,label,bbox_x,bbox_y,bbox_width,bbox_height,bbox_area,crop_width,crop_height,padding,source_crop_path,shortlist_rank,selection_reason
DJI_20250911105233_0257_V__1278,test,DJI_20250911105233_0257_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105233_0257_V.jpg,1278,isoladores,2434.0,1155.3,41.0,211.33,8664.53,169,340,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105233_0257_V__1278__isoladores.png,1,largest isolador bbox per image; selected by temporal bin and bbox_area
DJI_20250911105238_0263_V__1309,test,DJI_20250911105238_0263_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105238_0263_V.jpg,1309,isoladores,2414.0,1148.0,42.0,209.6,8803.2,170,338,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105238_0263_V__1309__isoladores.png,2,largest isolador bbox per image; selected by temporal bin and bbox_area
DJI_20250911105247_0276_V__1374,test,DJI_20250911105247_0276_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105247_0276_V.jpg,1374,isoladores,3003.6,883.0,43.4,202.3,8779.82,172,331,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105247_0276_V__1374__isoladores.png,3,largest isolador bbox per image; selected by temporal bin and bbox_area
DJI_20250911105257_0291_V__1450,test,DJI_20250911105257_0291_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105257_0291_V.jpg,1450,isoladores,3057.8,916.5,45.1,206.09,9294.66,174,335,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105257_0291_V__1450__isoladores.png,4,largest isolador bbox per image; selected by temporal bin and bbox_area
DJI_20250911105303_0300_V__1491,test,DJI_20250911105303_0300_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105303_0300_V.jpg,1491,isoladores,3091.6,935.68,49.1,205.82,10105.76,178,335,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/test/DJI_20250911105303_0300_V__1491__isoladores.png,5,largest isolador bbox per image; selected by temporal bin and bbox_area
DJI_20250911105200_0210_V__1042,val,DJI_20250911105200_0210_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105200_0210_V.jpg,1042,isoladores,2647.4,1233.1,41.0,214.6,8798.6,170,343,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/val/DJI_20250911105200_0210_V__1042__isoladores.png,1,largest isolador bbox per image; selected by temporal bin and bbox_area
DJI_20250911105207_0219_V__1087,val,DJI_20250911105207_0219_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105207_0219_V.jpg,1087,isoladores,2608.7,1233.74,38.7,213.96,8280.25,168,343,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/val/DJI_20250911105207_0219_V__1087__isoladores.png,2,largest isolador bbox per image; selected by temporal bin and bbox_area
DJI_20250911105214_0229_V__1138,val,DJI_20250911105214_0229_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105214_0229_V.jpg,1138,isoladores,2554.0,1223.5,37.0,215.5,7973.5,165,344,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/val/DJI_20250911105214_0229_V__1138__isoladores.png,3,largest isolador bbox per image; selected by temporal bin and bbox_area
DJI_20250911105221_0240_V__1193,val,DJI_20250911105221_0240_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105221_0240_V.jpg,1193,isoladores,2502.3,1191.01,36.66,218.89,8024.51,165,347,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/val/DJI_20250911105221_0240_V__1193__isoladores.png,4,largest isolador bbox per image; selected by temporal bin and bbox_area
DJI_20250911105226_0247_V__1225,val,DJI_20250911105226_0247_V,data/raw/tower_vision/v2026-04-16/extracted/imagens_torres_300/images/default/DJI_20250911105226_0247_V.jpg,1225,isoladores,2470.24,1179.9,38.0,219.02,8322.76,167,348,64,data/synthetic/tower_vision/v2026-04-16/anomaly_controlled_v1/source_crops/val/DJI_20250911105226_0247_V__1225__isoladores.png,5,largest isolador bbox per image; selected by temporal bin and bbox_area
